county,public_level_1,shared_private_level_1,public_level_2,shared_private_level_2,public_dc_fast,shared_private_dc_fast,total,year,quarter
Santa Cruz,1,0,192,69,70,0,356,2022,Q2
Shasta,0,0,41,39,23,2,105,2022,Q2
Sierra,0,0,1,0,0,0,1,2022,Q2
Siskiyou,0,1,24,0,43,0,68,2022,Q2
Solano,5,0,251,95,92,2,509,2022,Q2
Sonoma,1,0,472,200,115,15,840,2022,Q2
Stanislaus,1,1,56,31,52,1,158,2022,Q2
Sutter,0,0,5,3,16,0,24,2022,Q2
Tehama,0,0,12,35,32,1,80,2022,Q2
Trinity,0,0,4,0,10,0,14,2022,Q2
Tulare,0,3,55,32,48,22,160,2022,Q2
Tuolumne,0,0,34,4,14,0,52,2022,Q2
Ventura,4,0,409,269,131,8,821,2022,Q2
Yolo,12,0,206,102,50,0,428,2022,Q2
Yuba,0,0,25,33,0,0,60,2022,Q2
Unknown,0,0,0,16,0,0,16,2022,Q2
Total,184,374,29725,41511,7494,495,79783,2022,Q2
Alameda,0,70,1671,2080,347,34,5051,2022,Q1
Alpine,0,0,18,0,0,0,18,2022,Q1
Amador,0,0,25,0,8,0,33,2022,Q1
Butte,6,0,41,45,27,1,132,2022,Q1
Calaveras,0,2,7,0,12,0,21,2022,Q1
Colusa,0,0,18,0,18,0,36,2022,Q1
Contra Costa,2,2,589,442,252,1,1715,2022,Q1
Del Norte,0,0,12,1,17,2,32,2022,Q1
El Dorado,1,0,124,0,48,0,173,2022,Q1
Fresno,8,1,592,373,208,9,1311,2022,Q1
Glenn,0,0,4,0,10,0,14,2022,Q1
Humboldt,0,0,114,10,21,0,145,2022,Q1
Imperial,0,0,12,11,12,0,35,2022,Q1
Inyo,0,0,6,5,29,1,41,2022,Q1
Kern,4,1,164,229,199,1,631,2022,Q1
Kings,0,0,43,16,101,0,160,2022,Q1
Lake,0,0,14,0,0,0,14,2022,Q1
Lassen,0,1,4,0,8,0,13,2022,Q1
Los Angeles,31,147,7367,15036,1140,181,23903,2022,Q1
Madera,0,1,53,6,83,4,147,2022,Q1
Marin,1,0,483,300,83,0,1037,2022,Q1
Mariposa,0,0,25,0,10,0,35,2022,Q1
Mendocino,0,0,114,7,37,0,158,2022,Q1
Merced,10,2,53,19,40,3,139,2022,Q1
Modoc,0,0,4,0,8,0,12,2022,Q1
Mono,0,0,20,5,12,0,37,2022,Q1
Monterey,2,0,215,39,125,2,383,2022,Q1
Napa,0,0,316,17,41,0,393,2022,Q1
Nevada,0,1,65,41,45,0,152,2022,Q1
Orange,1,0,2676,1726,576,24,5003,2022,Q1
Placer,0,1,196,61,128,2,424,2022,Q1
Plumas,0,0,7,0,0,0,7,2022,Q1
Riverside,0,1,938,104,387,11,1441,2022,Q1
Sacramento,69,18,826,544,258,18,1765,2022,Q1
San Benito,0,0,12,10,25,0,47,2022,Q1
San Bernardino,3,11,606,428,348,28,1424,2022,Q1
San Diego,2,17,1887,4221,394,30,6551,2022,Q1
San Francisco,12,6,622,631,113,31,1519,2022,Q1
San Joaquin,0,0,180,207,95,9,565,2022,Q1
San Luis Obispo,0,1,351,81,128,0,638,2022,Q1
San Mateo,2,36,2043,1906,305,19,4688,2022,Q1
Santa Barbara,3,2,303,100,71,1,480,2022,Q1
Santa Clara,3,75,3766,11323,605,40,16831,2022,Q1
Santa Cruz,1,0,178,66,64,0,333,2022,Q1
Shasta,0,0,38,39,11,2,90,2022,Q1
Sierra,0,0,1,0,0,0,1,2022,Q1
Siskiyou,0,1,24,0,43,0,68,2022,Q1
Solano,5,0,244,105,91,2,501,2022,Q1
Sonoma,1,0,413,186,113,15,765,2022,Q1
Stanislaus,1,1,55,31,44,1,149,2022,Q1
Sutter,0,0,5,3,16,0,24,2022,Q1
Tehama,0,0,11,35,19,1,66,2022,Q1
Trinity,0,0,4,0,10,0,14,2022,Q1
Tulare,0,3,51,32,46,22,154,2022,Q1
Tuolumne,0,0,34,4,14,0,52,2022,Q1
Unknown,0,0,0,16,0,0,273,2022,Q1
Ventura,4,0,390,266,125,7,679,2022,Q1
Yolo,12,0,202,102,50,0,299,2022,Q1
Yuba,0,0,25,33,0,0,41,2022,Q1
Total,184,401,28261,40942,7020,502,77310,2022,Q1
